Incident energy,Cross section
1e-05,201.1
0.0001,81.81
0.0005,53.21
0.00075,44.86
0.001,39.94
0.0012,36.08
0.0015,31.72
0.002,27.95
0.0025,25.27
0.003,22.43
0.004,19.76
0.005,16.83
0.0075,14.19
0.01,10.22
0.0253,7.967
0.03,7.095
0.04,6.249
0.05,5.648
0.06,5.196
0.07,4.837
0.08,4.542
0.09,4.295
0.1,3.951
0.125,3.574
0.15,3.286
0.175,3.058
0.2,2.873
0.225,2.717
0.25,2.584
0.275,2.468
0.3,2.367
0.325,2.278
0.35,2.199
0.375,2.127
0.4,2.032
0.45,1.924
0.5,1.832
0.55,1.753
0.6,1.693
0.625,1.659
0.65,1.615
0.7,1.557
0.75,1.505
0.8,1.46
0.85,1.415
0.9,1.387
0.925,1.369
0.95,1.35
0.975,1.332
1.0,1.32
1.01,1.315
1.02,1.309
1.03,1.304
1.04,1.298
1.05,1.292
1.06,1.287
1.07,1.281
1.08,1.275
1.09,1.27
1.1,1.264
1.11,1.259
1.12,1.253
1.13,1.247
1.14,1.242
1.15,1.232
1.175,1.218
1.2,1.204
1.225,1.19
1.25,1.173
1.3,1.152
1.35,1.131
1.4,1.111
1.45,1.09
1.5,1.065
1.59,1.036
1.68,1.008
1.77,0.9827
1.86,0.9608
1.94,0.9427
2.0,0.9226
2.12,0.901
2.21,0.8824
2.3,0.865
2.38,0.8497
2.47,0.8343
2.57,0.8181
2.67,0.802
2.77,0.7878
2.87,0.7746
2.97,0.766
3.0,0.7607
3.05,0.7509
3.15,0.7254
3.5,0.6961
3.73,0.6742
4.0,0.633
4.75,0.5987
5.0,0.5803
5.4,0.5552
6.0,0.5339
6.25,0.523
6.5,0.5137
6.75,0.5045
7.0,0.4971
7.15,0.4783
8.1,0.45
9.1,0.4268
10.0,0.4031
11.5,0.3862
11.9,0.3741
12.9,0.3611
13.75,0.3513
14.4,0.3424
15.1,0.3335
16.0,0.3238
17.0,0.3117
18.5,0.3033
19.0,0.2971
20.0,0.2897
21.0,0.2815
22.5,0.2688
25.0,0.2554
27.5,0.2437
30.0,0.2358
31.25,0.2322
31.75,0.2287
33.25,0.2252
33.75,0.2228
34.6,0.2198
35.5,0.2164
37.0,0.2129
38.0,0.2099
39.1,0.2077
39.6,0.205
41.0,0.2011
42.4,0.1973
44.0,0.1943
45.2,0.1911
47.0,0.1877
48.3,0.1854
49.2,0.183
50.6,0.1806
52.0,0.1783
53.4,0.1726
59.0,0.1665
61.0,0.162
65.0,0.158
67.5,0.1538
72.0,0.1487
76.0,0.1446
80.0,0.1418
82.0,0.1372
90.0,0.1301
100.0,0.1238
108.0,0.1191
115.0,0.116
119.0,0.1141
122.0,0.1002
186.0,0.08859
192.5,0.08575
207.5,0.08374
210.0,0.0802
240.0,0.07318
285.0,0.06817
305.0,0.05494
550.0,0.04317
670.0,0.04039
683.0,0.03578
950.0,0.03019
1150.0,0.02607
1500.0,0.02379
1550.0,0.02254
1800.0,0.02043
2200.0,0.01924
2290.0,0.01849
2580.0,0.01746
3000.0,0.0164
3740.0,0.01595
3900.0,0.01572
6000.0,0.02496
8030.0,0.02024
9500.0,0.08881
13000.0,0.07177
17000.0,0.07132
25000.0,0.01136
30000.0,0.03348
45000.0,0.007025
50000.0,0.02519
52000.0,0.01038
60000.0,0.002058
73000.0,0.01231
75000.0,0.0154
82000.0,0.01031
85000.0,0.008385
100000.0,0.005277
128300.0,0.003885
150000.0,0.004466
200000.0,0.004767
270000.0,0.003807
330000.0,0.003708
400000.0,0.004041
420000.0,0.003949
440000.0,0.003845
470000.0,0.003736
499500.0,0.00361
550000.0,0.003511
573000.0,0.003453
600000.0,0.003357
670000.0,0.00329
679000.0,0.003233
750000.0,0.003153
820000.0,0.003106
861100.0,0.003087
875000.0,0.003075
900000.0,0.003062
920000.0,0.003027
1010000.0,0.00224
1100000.0,0.001643
1200000.0,0.001536
1250000.0,0.001488
1317000.0,0.001456
1356000.0,0.001435
1400000.0,0.001408
1500000.0,0.001362
1850000.0,0.001326
2354000.0,0.001299
2479000.0,0.001214
3000000.0,0.0008406
4304000.0,0.0005333
4800000.0,0.0004471
6434000.0,0.000464
8187000.0,0.0005283
10000000.0,0.0006708
12840000.0,0.000835
13840000.0,0.0009044
14550000.0,0.0009666
15680000.0,0.001012
20000000.0,0.000916
