,U239,Np239,Pu239,Pu240,Pu241,Pu242
A_0001,2.65689e-06,0.000384463,0.0056006,0.000274336,1.35355e-05,2.83565e-07
A_0002,4.1657e-06,0.000602945,0.00435301,0.000157091,6.16041e-06,1.0071e-07
A_0003,5.08455e-06,0.000735805,0.00381358,0.000133571,4.58306e-06,6.52159e-08
A_0004,3.41791e-06,0.000494833,0.00499141,0.000216341,9.65385e-06,1.81371e-07
A_0005,2.96873e-06,0.00042959,0.00518694,0.000225587,1.05036e-05,2.05341e-07
A_0006,4.633e-06,0.000670542,0.00409749,0.000151796,5.61128e-06,8.64289e-08
A_0007,3.81229e-06,0.000552532,0.00360798,0.00010531,3.43918e-06,4.63788e-08
A_0008,2.28629e-06,0.000330845,0.0049127,0.000200789,8.54319e-06,1.51336e-07
A_0009,4.08002e-06,0.000590873,0.00518837,0.000213623,9.68954e-06,1.83849e-07
A_0010,2.47231e-06,0.000357908,0.00419304,0.000151576,5.56598e-06,8.48807e-08
A_0011,3.25622e-06,0.000471258,0.00466175,0.00018232,7.46202e-06,1.27719e-07
A_0012,4.73392e-06,0.000684913,0.0054328,0.000269216,1.32514e-05,2.77162e-07
A_0013,4.38577e-06,0.000634945,0.00472837,0.000215285,9.23511e-06,1.67051e-07
A_0014,2.89367e-06,0.000419162,0.00392417,0.000128117,4.35702e-06,6.10189e-08
A_0015,2.04283e-06,0.000295611,0.00441239,0.000168551,6.55804e-06,1.05706e-07
A_0016,3.6236e-06,0.000524501,0.00538413,0.00024382,1.16918e-05,2.37608e-07
A_0017,3.66856e-06,0.000531175,0.00440486,0.000173618,6.87294e-06,1.13269e-07
A_0018,2.12955e-06,0.000308134,0.00565608,0.000257423,1.26307e-05,2.62732e-07
A_0019,2.8532e-06,0.000412847,0.00494485,0.000221798,9.74659e-06,1.79952e-07
A_0020,4.47484e-06,0.000648255,0.00379811,0.000125805,4.32515e-06,6.15347e-08
A_0021,4.9404e-06,0.000715658,0.00410062,0.000140627,5.13718e-06,7.75944e-08
A_0022,3.26821e-06,0.000473144,0.00521358,0.0002459,1.14645e-05,2.25679e-07
A_0023,2.52322e-06,0.000365185,0.00485302,0.000183368,7.73996e-06,1.36259e-07
A_0024,4.03755e-06,0.000584842,0.00352135,0.000107564,3.40667e-06,4.46862e-08
A_0025,2.27194e-06,0.000328853,0.00408454,0.000133458,4.81269e-06,7.19175e-08
A_0026,3.84938e-06,0.000557472,0.00503612,0.000223364,1.00564e-05,1.91076e-07
A_0027,4.60884e-06,0.000667037,0.00544955,0.000262062,1.29891e-05,2.74286e-07
A_0028,3.107e-06,0.000449875,0.00463733,0.000189052,7.69043e-06,1.29569e-07
A_0029,3.51493e-06,0.000509067,0.00377973,0.000133504,4.49868e-06,6.2172e-08
A_0030,4.97411e-06,0.000720083,0.00460455,0.00018709,7.85776e-06,1.38757e-07
A_0031,4.30722e-06,0.000623492,0.00534671,0.000251313,1.18559e-05,2.36127e-07
A_0032,2.70232e-06,0.000391281,0.00439018,0.000161418,6.25405e-06,1.01016e-07
A_0033,3.37988e-06,0.000489219,0.00492626,0.000200057,8.71571e-06,1.58804e-07
A_0034,5.1023e-06,0.000739312,0.0037722,0.00012737,4.29498e-06,6.0064e-08
A_0035,4.13696e-06,0.0005991,0.00426981,0.000160103,6.17869e-06,9.96067e-08
A_0036,2.60848e-06,0.0003774,0.00550238,0.000272148,1.31346e-05,2.66596e-07
A_0037,2.24667e-06,0.000325037,0.00534771,0.000252545,1.1796e-05,2.31438e-07
A_0038,3.76291e-06,0.000545111,0.00405974,0.000138874,5.03312e-06,7.55443e-08
A_0039,4.5537e-06,0.000659365,0.00452881,0.000177072,7.14038e-06,1.20504e-07
A_0040,2.93174e-06,0.000424306,0.00562279,0.000260369,1.31729e-05,2.83209e-07
A_0041,5.0798e-06,0.000735341,0.00505892,0.000230281,1.064e-05,2.09489e-07
A_0042,3.5863e-06,0.000519484,0.00425683,0.000137412,5.1542e-06,7.98252e-08
A_0043,2.80696e-06,0.000406498,0.00376472,0.000123118,4.07211e-06,5.52966e-08
A_0044,4.39921e-06,0.000637466,0.00473471,0.000189806,8.01303e-06,1.40945e-07
A_0045,3.95468e-06,0.000572371,0.00549974,0.000256508,1.24894e-05,2.58558e-07
A_0046,2.37922e-06,0.000344261,0.00453363,0.000188394,7.61939e-06,1.28915e-07
A_0047,3.23139e-06,0.000467885,0.00405296,0.000134658,4.79364e-06,7.07363e-08
A_0048,4.70549e-06,0.000681088,0.00484982,0.000211222,9.28959e-06,1.72521e-07
A_0049,3.09972e-06,0.00044865,0.00518493,0.000232762,1.05036e-05,1.99187e-07
A_0050,4.61289e-06,0.000667591,0.00387323,0.000125616,4.396e-06,6.38868e-08
A_0051,3.86466e-06,0.000559402,0.00452954,0.000187583,7.52402e-06,1.25526e-07
A_0052,2.26065e-06,0.000327066,0.00562739,0.000276622,1.39504e-05,2.99013e-07
A_0053,2.65798e-06,0.000384603,0.00487458,0.000196909,8.43051e-06,1.51185e-07
A_0054,4.28244e-06,0.000620153,0.00368333,0.000123093,4.06281e-06,5.54916e-08
A_0055,4.94182e-06,0.000715241,0.0040525,0.000142114,5.35979e-06,8.49534e-08
A_0056,3.44127e-06,0.000498024,0.00532569,0.000246338,1.1624e-05,2.32139e-07
A_0057,4.42882e-06,0.000641283,0.00540504,0.00023086,1.10928e-05,2.26074e-07
A_0058,2.85494e-06,0.000413168,0.00444722,0.000173664,6.89642e-06,1.14362e-07
A_0059,2.15338e-06,0.000311755,0.00414072,0.00013758,4.85827e-06,7.06188e-08
A_0060,3.64271e-06,0.000527105,0.00491905,0.000213348,9.29102e-06,1.70216e-07
A_0061,3.9779e-06,0.000575897,0.00505795,0.00024184,1.11337e-05,2.17719e-07
A_0062,2.48578e-06,0.000359859,0.00425995,0.000150315,5.58392e-06,8.56236e-08
A_0063,3.26314e-06,0.00047239,0.00362043,0.000112461,3.58754e-06,4.72226e-08
