,4
A_0001,59.5154
A_0002,30.3856
A_0003,22.5853
A_0004,41.6844
A_0005,49.474
A_0006,26.1582
A_0007,27.3999
A_0008,59.4335
A_0009,36.6429
A_0010,47.0142
A_0011,40.5966
A_0012,33.9626
A_0013,31.6824
A_0014,37.9812
A_0015,59.3813
A_0016,42.6567
A_0017,34.5014
A_0018,73.8258
A_0019,48.9508
A_0020,25.0589
A_0021,24.6556
A_0022,45.5623
A_0023,53.375
A_0024,25.5387
A_0025,49.5177
A_0026,37.7621
A_0027,34.8125
A_0028,42.1784
A_0029,30.8802
A_0030,27.5437
A_0031,36.1537
A_0032,45.3271
A_0033,41.4241
A_0034,22.2197
A_0035,30.0427
A_0036,59.5065
A_0037,66.3253
A_0038,31.0681
A_0039,29.1912
A_0040,54.4375
A_0041,29.6585
A_0042,33.8155
A_0043,37.6038
A_0044,31.3689
A_0045,40.2451
A_0046,53.1118
A_0047,35.4813
A_0048,30.4442
A_0049,47.3638
A_0050,24.8741
A_0051,33.8658
A_0052,69.8887
A_0053,51.2834
A_0054,25.318
A_0055,24.4987
A_0056,44.3171
A_0057,35.5382
A_0058,43.846
A_0059,52.5468
A_0060,38.8159
A_0061,37.0207
A_0062,47.5252
A_0063,31.6018
A_0064,27.8837
A_0065,27.8707
A_0066,54.3505
A_0067,38.2421
A_0068,20.6347
A_0069,27.2272
A_0070,50.1774
A_0071,59.8631
A_0072,28.64
A_0073,42.0461
A_0074,33.8286
A_0075,31.6562
A_0076,36.9962
A_0077,39.1945
A_0078,32.6498
A_0079,43.4705
A_0080,59.8512
A_0081,69.6583
A_0082,32.3251
A_0083,23.3084
A_0084,46.0835
A_0085,47.7005
A_0086,26.219
A_0087,27.3917
A_0088,56.0866
A_0089,35.6733
A_0090,45.9402
A_0091,39.5402
A_0092,33.084
A_0093,29.0337
A_0094,33.0018
A_0095,47.9187
A_0096,37.8636
A_0097,24.7262
A_0098,46.1358
A_0099,66.9454
A_0100,33.3637
A_0101,30.5168
A_0102,68.2421
A_0103,55.1262
A_0104,28.6647
A_0105,37.8854
A_0106,32.3207
A_0107,34.5905
A_0108,43.1027
A_0109,53.8779
A_0110,40.1291
A_0111,29.9861
A_0112,35.0705
A_0113,55.1221
A_0114,26.0192
A_0115,25.0425
A_0116,46.6844
A_0117,39.5333
A_0118,21.6622
A_0119,29.0197
A_0120,55.788
A_0121,40.5748
A_0122,54.7034
A_0123,35.61
A_0124,30.3296
A_0125,32.6431
A_0126,38.3737
A_0127,43.7579
A_0128,34.979
A_0129,26.2828
A_0130,46.6829
A_0131,54.2258
A_0132,27.4174
A_0133,32.1239
A_0134,66.4439
A_0135,45.0338
A_0136,23.4905
A_0137,34.2447
A_0138,29.7136
A_0139,39.1156
A_0140,50.7449
A_0141,49.0848
A_0142,36.9345
A_0143,34.0085
A_0144,41.4056
A_0145,56.5298
A_0146,29.7946
A_0147,31.8675
A_0148,69.9352
A_0149,62.1933
A_0150,30.7319
A_0151,22.5822
A_0152,42.7394
A_0153,31.0584
A_0154,36.6224
A_0155,55.655
A_0156,41.3214
A_0157,32.0683
A_0158,39.0141
A_0159,34.7651
A_0160,30.2045
A_0161,25.8082
A_0162,53.1563
A_0163,45.5342
A_0164,24.8936
A_0165,25.3118
A_0166,48.8503
A_0167,73.0082
A_0168,34.6544
A_0169,45.2983
A_0170,36.2632
A_0171,27.7385
A_0172,31.1031
A_0173,42.2131
A_0174,34.9302
A_0175,37.8576
A_0176,49.3786
A_0177,29.0668
A_0178,62.4029
A_0179,51.651
A_0180,27.5414
A_0181,20.7487
A_0182,39.0884
A_0183,56.2464
A_0184,28.234
A_0185,62.6259
A_0186,44.4631
A_0187,33.1414
A_0188,40.2569
A_0189,37.8418
A_0190,32.0806
A_0191,34.4065
A_0192,43.4282
A_0193,44.038
A_0194,24.5403
A_0195,25.3556
A_0196,50.7737
A_0197,68.8223
A_0198,33.7754
A_0199,24.9144
A_0200,46.992
A_0201,27.8851
A_0202,31.5367
A_0203,47.0655
A_0204,36.8882
A_0205,38.6405
A_0206,51.8665
A_0207,43.5218
A_0208,35.437
A_0209,27.1964
A_0210,51.5166
A_0211,62.455
A_0212,28.6707
A_0213,31.5817
A_0214,62.092
A_0215,43.3549
A_0216,23.4984
A_0217,32.6654
A_0218,28.534
A_0219,37.9925
A_0220,49.4846
A_0221,39.9171
A_0222,32.8433
A_0223,30.9065
A_0224,35.6165
A_0225,57.5658
A_0226,28.0521
A_0227,26.7651
A_0228,48.7398
A_0229,47.2409
A_0230,23.8782
A_0231,33.1036
A_0232,71.6366
A_0233,38.5832
A_0234,49.1832
A_0235,33.8306
A_0236,29.5791
A_0237,33.7064
A_0238,40.5489
A_0239,47.3842
A_0240,36.4442
A_0241,31.8739
A_0242,66.5082
A_0243,44.8569
A_0244,23.2218
A_0245,26.0528
A_0246,46.5412
A_0247,54.1341
A_0248,27.1543
A_0249,48.8893
A_0250,36.7139
A_0251,33.8049
A_0252,41.1763
A_0253,33.9715
A_0254,29.4974
A_0255,38.9336
A_0256,50.601
A_0257,40.4125
A_0258,22.1624
A_0259,29.6639
A_0260,57.0986
A_0261,56.6337
A_0262,26.7017
A_0263,25.6068
A_0264,47.7432
