,B10_MT107,B10_MT107,Ti47_MT102,Ti47_MT102,Ti48_MT102,Ti48_MT102,Ti49_MT102,Ti49_MT102
,sigma,rsd,sigma,rsd,sigma,rsd,sigma,rsd
Incident energy ,,,,,,,,
1e-05,92980.0,0.7757000000000001,39.33,2.709,201.1,2.756,45.05,3.176
0.0001,37820.0,0.7757000000000001,16.0,2.725,81.81,2.773,18.32,3.1940000000000004
0.0005,24600.0,0.7757000000000001,10.4,2.725,53.21,2.773,11.92,3.1940000000000004
0.00075,20740.0,0.7757000000000001,8.772,2.725,44.86,2.773,10.05,3.1940000000000004
0.001,18470.0,0.7757000000000001,7.81,2.725,39.94,2.773,8.946,3.1940000000000004
0.0012,16680.0,0.7757000000000001,7.056,2.724,36.08,2.773,8.082,3.1940000000000004
0.0015,14660.0,0.7757000000000001,6.202,2.725,31.72,2.773,7.105,3.1940000000000004
0.002,12920.0,0.7757000000000001,5.465,2.724,27.95,2.773,6.26,3.1940000000000004
0.0025,11680.0,0.7757000000000001,4.94,2.725,25.27,2.773,5.659,3.1940000000000004
0.003,10370.0,0.7757000000000001,4.386,2.725,22.43,2.773,5.024,3.1940000000000004
0.004,9137.0,0.7757000000000001,3.864,2.724,19.76,2.773,4.427,3.1940000000000004
0.005,7779.0,0.7757000000000001,3.29,2.725,16.83,2.773,3.769,3.1940000000000004
0.0075,6558.0,0.7756,2.774,2.725,14.19,2.773,3.177,3.1940000000000004
0.01,4724.0,0.7756,1.998,2.725,10.22,2.773,2.288,3.1940000000000004
0.0253,3683.0,0.7756,1.558,2.725,7.967,2.773,1.784,3.1940000000000004
0.03,3279.0,0.7756,1.387,2.724,7.095,2.772,1.589,3.1940000000000004
0.04,2889.0,0.7756,1.222,2.725,6.249,2.773,1.399,3.195
0.05,2611.0,0.7756,1.104,2.725,5.648,2.774,1.265,3.195
0.06,2402.0,0.7756,1.016,2.725,5.196,2.773,1.163,3.195
0.07,2236.0,0.7756,0.9457,2.724,4.837,2.773,1.083,3.1940000000000004
0.08,2099.0,0.7756,0.888,2.725,4.542,2.773,1.017,3.195
0.09,1986.0,0.7756,0.8399,2.725,4.295,2.774,0.9616,3.196
0.1,1827.0,0.7756,0.7726,2.725,3.951,2.774,0.8846,3.196
0.125,1652.0,0.7756,0.6988,2.724,3.574,2.772,0.8001,3.195
0.15,1519.0,0.7755,0.6425,2.724,3.286,2.773,0.7355,3.196
0.175,1414.0,0.7755,0.598,2.725,3.058,2.773,0.6844,3.196
0.2,1328.0,0.7755,0.5618,2.724,2.873,2.773,0.6429,3.196
0.225,1256.0,0.7755,0.5313,2.724,2.717,2.773,0.608,3.196
0.25,1194.0,0.7755,0.5053,2.725,2.584,2.773,0.5781,3.197
0.275,1141.0,0.7755,0.4827,2.725,2.468,2.774,0.5523,3.198
0.3,1094.0,0.7755,0.463,2.725,2.367,2.774,0.5296,3.199
0.325,1053.0,0.7755,0.4455,2.725,2.278,2.774,0.5096,3.199
0.35,1017.0,0.7755,0.4301,2.723,2.199,2.772,0.492,3.197
0.375,983.1,0.7755,0.416,2.724,2.127,2.772,0.4757,3.198
0.4,939.5,0.7755,0.3975,2.723,2.032,2.771,0.4545,3.197
0.45,889.4,0.7755,0.3763,2.72,1.924,2.769,0.4302,3.195
0.5,846.8,0.7755,0.3583,2.717,1.832,2.766,0.4095,3.192
0.55,810.2,0.7755,0.3428,2.714,1.753,2.762,0.3918,3.188
0.6,782.8,0.7755,0.3312,2.721,1.693,2.77,0.3785,3.197
0.625,766.9,0.7755,0.3245,2.722,1.659,2.771,0.3707,3.199
0.65,746.6,0.7755,0.3159,2.718,1.615,2.766,0.3609,3.1940000000000004
0.7,719.6,0.7755,0.3045,2.721,1.557,2.77,0.3478,3.198
0.75,695.7,0.7754,0.2944,2.722,1.505,2.771,0.3361,3.201
0.8,674.8,0.7754,0.2855,2.72,1.46,2.769,0.326,3.199
0.85,654.4,0.7754,0.2769,2.723,1.415,2.772,0.316,3.204
0.9,641.3,0.7754,0.2713,2.721,1.387,2.77,0.3096,3.202
0.925,632.8,0.7754,0.2678,2.72,1.369,2.77,0.3056,3.201
0.95,624.4,0.7754,0.2642,2.721,1.35,2.77,0.3015,3.202
0.975,616.0,0.7754,0.2607,2.723,1.332,2.772,0.2974,3.205
1.0,610.5,0.7754,0.2583,2.724,1.32,2.773,0.2947,3.206
1.01,607.9,0.7754,0.2572,1.4200000000000002,1.315,1.357,0.2934,1.678
1.02,605.3,0.7754,0.2561,2.724,1.309,2.773,0.2922,3.206
1.03,602.7,0.7754,0.255,1.418,1.304,1.356,0.2909,1.6760000000000002
1.04,600.1,0.7754,0.2539,2.721,1.298,2.771,0.2896,3.2030000000000003
1.05,597.5,0.7754,0.2529,1.417,1.292,1.355,0.2884,1.675
1.06,594.9,0.7754,0.2518,2.719,1.287,2.769,0.2871,3.201
1.07,592.3,0.7754,0.2507,1.416,1.281,1.354,0.2859,1.6740000000000002
1.08,589.7,0.7754,0.2496,2.719,1.275,2.768,0.2846,3.201
1.09,587.1,0.7754,0.2485,1.415,1.27,1.353,0.2833,1.6740000000000002
1.1,584.6,0.7754,0.2474,1.415,1.264,1.353,0.2821,1.6729999999999998
1.11,582.0,0.7754,0.2463,2.713,1.259,2.762,0.2808,3.1940000000000004
1.12,579.4,0.7754,0.2452,1.415,1.253,1.353,0.2796,1.6729999999999998
1.13,576.8,0.7754,0.2441,2.714,1.247,2.763,0.2783,3.196
1.14,574.2,0.7754,0.243,1.415,1.242,1.353,0.277,1.6740000000000002
1.15,569.7,0.7754,0.2411,2.715,1.232,2.764,0.2748,3.198
1.175,563.2,0.7754,0.2383,2.716,1.218,2.765,0.2717,3.199
1.2,556.7,0.7754,0.2356,2.719,1.204,2.769,0.2685,3.2030000000000003
1.225,550.2,0.7754,0.2329,2.723,1.19,2.773,0.2654,3.208
1.25,542.2,0.7754,0.2295,2.723,1.173,2.772,0.2615,3.208
1.3,532.6,0.7754,0.2254,2.719,1.152,2.768,0.2568,3.204
1.35,523.1,0.7754,0.2214,2.718,1.131,2.767,0.2522,3.2030000000000003
1.4,513.5,0.7754,0.2174,2.719,1.111,2.769,0.2475,3.206
1.45,504.0,0.7754,0.2133,2.723,1.09,2.773,0.2429,3.211
1.5,492.5,0.7752,0.2085,2.723,1.065,2.773,0.2373,3.212
1.59,479.3,0.7752,0.2029,2.72,1.036,2.77,0.2308,3.2099999999999995
1.68,466.0,0.7752,0.1972,2.724,1.008,2.774,0.2243,3.215
1.77,454.5,0.7752,0.1924,2.723,0.9827,2.773,0.2187,3.215
1.86,444.4,0.7752,0.1881,2.722,0.9608,2.772,0.2138,3.215
1.94,436.0,0.7752,0.1846,2.724,0.9427,2.775,0.2097,3.2190000000000003
2.0,426.7,0.7752,0.1806,2.722,0.9226,2.773,0.2052,3.218
2.12,416.8,0.7752,0.1764,2.719,0.901,2.769,0.2003,3.215
2.21,408.2,0.7752,0.1728,2.72,0.8824,2.77,0.1961,3.217
2.3,400.1,0.7752,0.1694,2.724,0.865,2.775,0.1922,3.2230000000000003
2.38,393.1,0.7752,0.1664,2.724,0.8497,2.775,0.1887,3.224
2.47,386.0,0.7752,0.1634,2.721,0.8343,2.772,0.1852,3.2230000000000003
2.57,378.5,0.7752,0.1602,2.721,0.8181,2.772,0.1816,3.224
2.67,371.1,0.7752,0.1571,2.725,0.802,2.776,0.1779,3.229
2.77,364.5,0.7752,0.1543,2.724,0.7878,2.775,0.1747,3.2300000000000004
2.87,358.4,0.7752,0.1517,2.722,0.7746,2.774,0.1717,3.229
2.97,354.5,0.7752,0.1501,2.723,0.766,2.774,0.1698,3.2300000000000004
3.0,352.0,0.7752,0.149,2.723,0.7607,2.775,0.1686,3.232
3.05,347.5,0.7752,0.1471,2.726,0.7509,2.777,0.1664,3.235
3.15,335.7,0.7752,0.1421,2.725,0.7254,2.777,0.1606,3.237
3.5,322.1,0.775,0.1364,2.723,0.6961,2.775,0.154,3.238
3.73,312.0,0.775,0.1321,2.719,0.6742,2.771,0.149,3.237
4.0,293.0,0.775,0.1241,2.723,0.633,2.776,0.1396,3.249
4.75,277.2,0.775,0.1174,2.725,0.5987,2.778,0.1318,3.258
5.0,268.7,0.775,0.1138,2.722,0.5803,2.776,0.1277,3.258
5.4,257.1,0.775,0.109,2.718,0.5552,2.772,0.1219,3.259
6.0,247.3,0.775,0.1048,2.725,0.5339,2.78,0.1171,3.274
6.25,242.3,0.775,0.1027,2.727,0.523,2.781,0.1146,3.279
6.5,238.0,0.775,0.1009,2.723,0.5137,2.778,0.1125,3.277
6.75,233.7,0.775,0.09908,2.722,0.5045,2.777,0.1104,3.279
7.0,230.3,0.775,0.09764,2.723,0.4971,2.778,0.1087,3.283
7.15,221.7,0.7747999999999999,0.09398,2.727,0.4783,2.783,0.1044,3.295
8.1,208.6,0.7747999999999999,0.08848,2.728,0.45,2.785,0.09787,3.309
9.1,197.7,0.7747999999999999,0.08397,2.728,0.4268,2.786,0.09252,3.322
10.0,186.5,0.7747999999999999,0.07935,2.723,0.4031,2.782,0.08703,3.331
11.5,178.7,0.7747999999999999,0.07607,2.722,0.3862,2.782,0.08312,3.343
11.9,173.6,0.7747999999999999,0.07373,2.73,0.3741,2.791,0.08033,3.361
12.9,167.7,0.7747999999999999,0.07121,2.727,0.3611,2.789,0.07731,3.37
13.75,163.2,0.7747999999999999,0.0693,2.727,0.3513,2.79,0.07502,3.38
14.4,159.1,0.7747,0.06759,2.732,0.3424,2.796,0.07296,3.396
15.1,155.1,0.7744,0.06586,2.732,0.3335,2.796,0.07087,3.405
16.0,150.6,0.7744,0.06399,2.731,0.3238,2.796,0.0686,3.4160000000000004
17.0,145.1,0.7744,0.06164,2.735,0.3117,2.801,0.06577,3.438
18.5,141.2,0.7744,0.06002,2.734,0.3033,2.801,0.06379,3.449
19.0,138.4,0.7744,0.05883,2.736,0.2971,2.804,0.06234,3.462
20.0,135.0,0.7744,0.0574,2.736,0.2897,2.805,0.06059,3.4750000000000005
21.0,131.2,0.7744,0.05581,2.733,0.2815,2.803,0.05865,3.487
22.5,125.4,0.7744,0.05337,2.738,0.2688,2.81,0.05565,3.52
25.0,119.3,0.7744,0.05079,2.7390000000000003,0.2554,2.814,0.05247,3.5540000000000003
27.5,113.9,0.7744,0.04854,2.742,0.2437,2.819,0.04967,3.591
30.0,110.3,0.7744,0.04702,2.745,0.2358,2.823,0.04778,3.619
31.25,108.7,0.7744,0.04634,2.7470000000000003,0.2322,2.826,0.04694,3.633
31.75,107.1,0.7744,0.04566,2.745,0.2287,2.826,0.04609,3.644
33.25,105.5,0.7744,0.04499,2.746,0.2252,2.827,0.04524,3.658
33.75,104.4,0.7744,0.04453,2.7470000000000003,0.2228,2.829,0.04467,3.669
34.6,103.0,0.7739,0.04396,2.749,0.2198,2.8320000000000003,0.04396,3.683
35.5,101.5,0.7738,0.0433,2.746,0.2164,2.829,0.04313,3.693
37.0,99.89,0.7738,0.04263,2.743,0.2129,2.828,0.04228,3.705
38.0,98.55,0.7738,0.04207,2.743,0.2099,2.829,0.04157,3.718
39.1,97.53,0.7738,0.04164,2.744,0.2077,2.83,0.04103,3.73
39.6,96.32,0.7738,0.04113,2.746,0.205,2.834,0.04039,3.746
41.0,94.53,0.7738,0.04038,2.752,0.2011,2.841,0.03944,3.773
42.4,92.83,0.7739,0.03967,2.754,0.1973,2.844,0.03853,3.796
44.0,91.46,0.7739,0.0391,2.752,0.1943,2.843,0.0378,3.811
45.2,90.0,0.7739,0.03848,2.752,0.1911,2.845,0.03702,3.83
47.0,88.49,0.7739,0.03785,2.754,0.1877,2.848,0.03621,3.853
48.3,87.42,0.7739,0.0374,2.757,0.1854,2.852,0.03564,3.873
49.2,86.33,0.7739,0.03694,2.761,0.183,2.857,0.03505,3.894
50.6,85.25,0.7739,0.03649,2.758,0.1806,2.855,0.03443,3.911
52.0,84.22,0.7739,0.03606,2.7550000000000003,0.1783,2.853,0.03384,3.929
53.4,81.66,0.7739,0.03499,2.7550000000000003,0.1726,2.856,0.03239,3.981
59.0,78.89,0.7739,0.03383,2.762,0.1665,2.866,0.03098,4.034
61.0,76.84,0.7739,0.03298,2.77,0.162,2.877,0.02995,4.077999999999999
65.0,75.04,0.7739,0.03222,2.768,0.158,2.878,0.02899,4.114
67.5,73.15,0.7739,0.03143,2.771,0.1538,2.883,0.02797,4.162
72.0,70.87,0.7735,0.03048,2.779,0.1487,2.895,0.02674,4.234
76.0,69.06,0.7733,0.02973,2.781,0.1446,2.9000000000000004,0.02576,4.287
80.0,67.8,0.7733,0.02921,2.782,0.1418,2.903,0.02509,4.326
82.0,65.74,0.7733,0.02835,2.79,0.1372,2.915,0.02397,4.404
90.0,62.55,0.7733,0.02703,2.798,0.1301,2.929,0.02226,4.531000000000001
100.0,59.83,0.7733,0.0259,2.803,0.1238,2.945,0.02076,4.662
108.0,57.89,0.7733,0.0251,2.804,0.1191,2.959,0.01965,4.772
115.0,56.47,0.7733,0.02452,2.811,0.116,2.967,0.01893,4.848
119.0,55.56,0.7733,0.02414,2.818,0.1141,2.973,0.01849,4.898000000000001
122.0,49.33,0.7724,0.0216,2.853,0.1002,3.024,0.0153,5.345
186.0,44.23,0.7726000000000001,0.01953,2.891,0.08859,3.083,0.01276,5.854
192.5,43.0,0.7726000000000001,0.01904,2.904,0.08575,3.103,0.01215,6.012
207.5,42.15,0.7726000000000001,0.01869,5.06,0.08374,5.527,0.01171,10.7
210.0,40.66,0.7726000000000001,0.01808,2.928,0.0802,3.14,0.01099,6.35
240.0,37.51,0.7726000000000001,0.01689,2.97,0.07318,3.202,0.009648,6.827
285.0,35.36,0.7726000000000001,0.01606,3.005,0.06817,3.253,0.008718,7.244000000000001
