Energy,Step0,Step1,Step2,Step3,Step4,Step5,Step6
5.5e-11,91668.64010415804,56088.296089571995,0.0,130104.55886085078,60856.6619503647,0.0,164346.7448670721
2.9999999999999995e-10,2009724.855604933,0.0,891946.183966743,881701.6315771962,942461.1252465153,277744.22299124993,1032555.3879004564
6.25e-10,58759167.33193257,62265183.196727976,57629586.06477772,70090580.45127791,58588704.01130519,59245427.56595807,66141443.71861085
8.750000000000001e-10,98547065.4473112,99845853.54870059,94294696.66517432,95637461.79031278,99665757.16572818,107910820.87548359,101615405.2186039
1.1e-09,68018634.38949999,60360349.82519656,71989969.0484404,78127905.07741863,71664539.07269724,73246874.27006876,72895058.08007614
1.35e-09,151609323.47414914,152341855.04116946,150370009.0620204,155451658.86342558,168092330.80410057,159508015.76828086,151943130.0258445
1.7500000000000002e-09,865606040.8850342,867440511.0185671,847290657.5655379,869015307.2975817,857237841.5087814,826856000.5301338,861292104.2696487
2.25e-09,683252170.693507,689333564.8348079,717562625.7937387,689036196.3885046,659801946.315309,668463325.849889,640581892.7929746
2.7499999999999994e-09,808033834.3655291,794819785.8009257,796352699.2001792,787058888.1812078,759504141.5864294,785823343.2282575,712917814.4282411
3.5000000000000003e-09,2103387539.6145136,2103358221.598681,2046502212.3230894,2099509184.9486427,2071087462.7428112,2024756621.1511652,1982207803.6019397
4.5e-09,3621817839.04667,3755269258.8292246,3668676404.923305,3619472397.7800527,3615619172.8420386,3497300037.5171423,3552602191.9536
6.25e-09,13402982235.205406,13155119352.77966,13168605640.06271,13127853598.055233,12996802067.282984,12715642295.447224,12745169725.678745
8.75e-09,12214848702.144646,12514730121.233585,12268626319.757803,12335890224.654009,12115670042.870539,11974943566.873493,11918862390.873482
1.765e-08,166603394428.59613,166540151280.15698,165374969565.20526,164803268256.46725,162505573472.77744,160938316112.11987,159612722967.6834
2.7649999999999996e-08,68047952405.33272,68237263021.85255,67788697379.61197,67404631372.20337,66604249539.97018,66192959660.71691,65563041149.11109
3.5e-08,162570073107.6094,162706192466.83273,161938060452.01553,161000302774.16617,159462363429.34134,157103938469.99802,156300624836.18155
4.5e-08,179059781698.3226,178815185680.51822,177361012095.21542,177321642188.24005,174846363994.36346,173094403133.95978,171461389652.07742
5.5e-08,178541271646.8811,178336883193.6473,177902976559.3231,176829099522.2504,174816208320.93555,172618613619.87454,170762783217.6635
6.5e-08,177800782332.70618,177816278998.21777,176574032784.50577,175962542739.99478,173254814563.44452,171607979731.241,170218724609.5678
7.5e-08,170115273896.55807,170144173083.59317,169004539925.2957,168230544307.31195,166341207601.2921,164792797536.527,163091933789.43176
8.5e-08,160972241244.7263,161186262760.30515,159881192226.9516,159334201817.2726,157243408459.60223,155941688556.62958,154166692112.35733
9.5e-08,149216135724.60416,149307021573.68558,148569882889.89154,147760286824.11093,146554059886.9934,144485464455.59637,143029196726.3055
1.125e-07,319446587540.50507,320160271811.63293,318315330958.1597,315687180253.15546,312687109575.8732,309408517748.1802,306050767277.7388
1.375e-07,247858275308.97287,248201296094.21567,246985017265.9555,244795380312.0491,242365754457.11206,239510179715.00534,237380854107.95483
1.625e-07,184754178030.63156,184709782178.08487,183963848089.54102,183179800580.41464,180710804818.5022,179001145666.65717,176216352991.3466
1.8750000000000003e-07,136954503845.76645,136899637273.2795,136560385947.2152,135215526678.08868,133871086237.75978,132087713217.53532,130548098557.52005
2.125e-07,98457436084.6226,98729255974.27165,98431468699.17078,97449315168.77473,96563073433.03143,95384489196.5562,93990208129.31166
2.375e-07,72033108414.59425,72152474621.91318,71976566526.91687,71334083151.38275,70405539707.08081,69489561126.7072,68881840541.37473
2.625e-07,52486787258.92145,52558825812.11041,52316323938.294075,52053299453.39484,51209778255.00779,50633051000.69847,50024492757.77078
2.8749999999999995e-07,39241954777.69367,39277555225.49054,39159613036.083496,38861741995.22308,38354456555.55755,37907063633.95028,37224833405.52294
